Bepaling,Materiaal,REFERENCE_UNIT,LIS,LIS_adjusted,loinc,LONG_COMMON_NAME,lab_naam
FERRITINE,,ug/L,K_FER_HP,K_FER_HP,2276-4,Ferritin [Mass/volume] in Serum or Plasma,VUMC LAB GLIMS
Ferritine,Bloed,ug/L,K_FER_HP,K_FER_HP,20567-4,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,GLIMS
Ferritine (EFER),Bloed,µg/L,EFER;BL,EFER-BL,20567-4,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,LABTRAIN
D-dimeren,Bloed,mg/L,K_DDM_CP,K_DDM_CP,48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,GLIMS
D-dimeren,Bloed,mg/L,SDIM;BL,SDIM-BL,48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,LABTRAIN
Fibrinogeen,Bloed,g/L,H_FIBspec_BL,H_FIBspec_BL,3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,GLIMS
Fibrinogeen,Bloed,g/L,SFIB;BL,SFIB-BL,3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,LABTRAIN
Y-GT,Bloed,U/L,K_YGT_HP,K_YGT_HP,2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,VUMC LAB GLIMS
Y-GT,,U/L,K_YGT_HP,K_YGT_HP,2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,VUMC LAB GLIMS
GAMMA-GT,Bloed,U/L 37¶C,RGGT-BL,RGGT-BL,2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,AMC LAB LABTRAIN
MACRO TROMBOCYTEN,Bloed,,HMAT-BL,HMAT-BL,5908-9,Giant platelets [Presence] in Blood by Light microscopy,AMC LAB LABTRAIN
eGFR (CKD-EPI) cysC,Bloed,"mL/min/1,73m≤",EGFRCYSC;BL,EGFRCYSC-BL,94677-2,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine and Cystatin C-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI) cysC,Bloed,mL/min/1.73m2,K_EGFRCYS,K_EGFRCYS,94677-2,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine and Cystatin C-based formula (CKD-EPI)",GLIMS
EGFR (CKD-EPI) CYSC AMC,Bloed,"mL/min/1,73m¶",EGFRCYSC-BL,EGFRCYSC-BL,94677-2,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine and Cystatin C-based formula (CKD-EPI)",AMC LAB LABTRAIN
EGFR(CKD-EPI) AMC,Bloed,"mL/min/1,73m¶",CKDEPI-BL,CKDEPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",AMC LAB LABTRAIN
EGFR(CKD-EPI) AMC,Bloed,"mL/min/1,73m2",CKDEPI-BL,CKDEPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",AMC LAB LABTRAIN
EGFR(CKD-EPI) AMC,Bloed,mL/min/m¶,CKDEPI-BL,CKDEPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",AMC LAB LABTRAIN
EGFR(CKD-EPI) AMC,,"mL/min/1,73m¶",CKDEPI-BL,CKDEPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",AMC LAB LABTRAIN
eGFR (CKD-EPI),Bloed Arterieel,"mL/min/1,73m≤",CKD-EPI;BL,CKD-EPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Arterielijn,"mL/min/1,73m≤",CKD-EPI;BL,CKD-EPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Capillair vinger,"mL/min/1,73m≤",CKD-EPI;BL,CKD-EPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Mixed Veneus,"mL/min/1,73m≤",CKD-EPI;BL,CKD-EPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Nevirapine:,"mL/min/1,73m≤",CKD-EPI;BL,CKD-EPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Veneus,"mL/min/1,73m≤",CKD-EPI;BL,CKD-EPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Arterieel,"mL/min/1,73m≤",eGFR (CKD-EPI);BL,eGFR (CKD-EPI)-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Arterielijn,"mL/min/1,73m≤",eGFR (CKD-EPI);BL,eGFR (CKD-EPI)-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Veneus,"mL/min/1,73m≤",eGFR (CKD-EPI);BL,eGFR (CKD-EPI)-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed,"mL/min/1,73m≤",CKD-EPI;BL,CKD-EPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Vragen om afname informatie,"mL/min/1,73m≤",CKD-EPI;BL,CKD-EPI-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed,"mL/min/1,73m≤",eGFR (CKD-EPI);BL,eGFR (CKD-EPI)-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed Vragen om afname informatie,"mL/min/1,73m≤",eGFR (CKD-EPI);BL,eGFR (CKD-EPI)-BL,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",LABTRAIN
eGFR (CKD-EPI),Bloed,mL/min/1.73m2,K_EGFRBer,K_EGFRBer,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",GLIMS
EGFR (CKD-EPI),Bloed,mL/min/1.73m2,K_EGFRBer,K_EGFRBer,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",VUMC LAB GLIMS
EGFR (CKD-EPI),,mL/min/1.73m2,K_EGFRBer,K_EGFRBer,62238-1,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",VUMC LAB GLIMS
eGFR (MDRD),Bloed,,EGFR;BL,EGFR-BL,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",LABTRAIN
eGFR (MDRD),Bloed,mL/min/1.73m2,K_EGFRBer_HP,K_EGFRBer_HP,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",GLIMS
EGFR (MDRD),Bloed,"mL/min/1,73m2",EGFR-BL,EGFR-BL,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",AMC LAB LABTRAIN
EGFR (MDRD),Bloed,ml/min/m,EGFR-BL,EGFR-BL,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",AMC LAB LABTRAIN
EGFR (MDRD),Bloed,mL/min/m¶,EGFR-BL,EGFR-BL,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",AMC LAB LABTRAIN
EGFR (MDRD),Bloed,mL/min/1.73m2,K_EGFRBer_HP,K_EGFRBer_HP,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",VUMC LAB GLIMS
EGFR (MDRD),,mL/min/1.73m2,K_EGFRBer_HP,K_EGFRBer_HP,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",VUMC LAB GLIMS
EGFRKIDS CYSC AMC,Bloed,"mL/min/1,73m¶",FASCYSC-BL,FASCYSC-BL,50210-4,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Cystatin C-based formula",AMC LAB LABTRAIN
GLUCOSE HOEV (U),Urine,g/vzm,GLUH-U,GLUH-U,2351-5,Glucose [Mass/time] in 24 hour Urine,AMC LAB LABTRAIN
GLUCOSE HOEV (U),Verzamel Urine,g/vzm,GLUH-U,GLUH-U,2351-5,Glucose [Mass/time] in 24 hour Urine,AMC LAB LABTRAIN
GLUC.KWAN. (URINE VERZAMELD),Urine,mmol/24u,K_GLUKWA_UV,K_GLUKWA_UV,15077-1,Glucose [Moles/time] in 24 hour Urine,VUMC LAB GLIMS
GLUCOSE (U),Verzamel Urine,mmol/L,UGLU-U,UGLU-U,25916-8,Glucose [Moles/volume] in 24 hour Urine,AMC LAB LABTRAIN
GLUCOSE - BLOEDGAS ART. (AMC),Bloed,mmol/L,CGLU-BL_ART,CGLU-BL_ART,39481-7,Glucose [Moles/volume] in Arterial blood,AMC LAB LABTRAIN
GLUCOSE - BLOEDGAS ART. (AMC),Bloed,mmol/L,DGLU-BL_ART,DGLU-BL_ART,39481-7,Glucose [Moles/volume] in Arterial blood,AMC LAB LABTRAIN
GLUCOSE - BLOEDGAS ART. (AMC),,mmol/L,DGLU-BL_ART,DGLU-BL_ART,39481-7,Glucose [Moles/volume] in Arterial blood,AMC LAB LABTRAIN
GLUCOSE BLOEDGAS ART. VUMC,Bloed,mmol/L,K_GLUC_ART,K_GLUC_ART,39481-7,Glucose [Moles/volume] in Arterial blood,VUMC LAB GLIMS
GLUCOSE BLOEDGAS ART. VUMC,Bloedgas,mmol/L,K_GLUC_ART,K_GLUC_ART,39481-7,Glucose [Moles/volume] in Arterial blood,VUMC LAB GLIMS
GLUCOSE BLOEDGAS ART. VUMC,Bloed,mmol/L,P_GLUC_ART,P_GLUC_ART,39481-7,Glucose [Moles/volume] in Arterial blood,VUMC LAB GLIMS
GLUCOSE BLOEDGAS ART. VUMC,,mmol/L,P_GLUC_ART,P_GLUC_ART,39481-7,Glucose [Moles/volume] in Arterial blood,VUMC LAB GLIMS
GLUCOSE POCT,Bloed,mmol/L,P_GLUC_GB,P_GLUC_GB,15074-8,Glucose [Moles/volume] in Blood,VUMC LAB GLIMS
GLUCOSE POCT,,mmol/L,P_GLUC_GB,P_GLUC_GB,15074-8,Glucose [Moles/volume] in Blood,VUMC LAB GLIMS
GLUCOSE BLOEDGAS,,mmol/L,P_GLUC_HB,P_GLUC_HB,15074-8,Glucose [Moles/volume] in Blood,VUMC LAB GLIMS
GLUCOSE BLOEDGAS,Bloed,mmol/L,P_GLUC_HB,P_GLUC_HB,15074-8,Glucose [Moles/volume] in Blood,VUMC LAB GLIMS
GLUCOSESTATSTRIP AMC,Bloed,mmol/L,GLUCS-BL,GLUCS-BL,72516-8,Glucose [Moles/volume] in Blood by Automated test strip,AMC LAB LABTRAIN
GLUCOSE,Overig,mmol/L,RGLU-O,RGLU-O,14745-4,Glucose [Moles/volume] in Body fluid,AMC LAB LABTRAIN
GLUCOSE - BLOEDGAS CAP. (AMC),Bloed,mmol/L,DGLU-BL_CAP,DGLU-BL_CAP,51596-5,Glucose [Moles/volume] in Capillary blood,AMC LAB LABTRAIN
GLUCOSE BLOEDGAS CAP. VUMC,,mmol/L,P_GLUC_CAP,P_GLUC_CAP,51596-5,Glucose [Moles/volume] in Capillary blood,VUMC LAB GLIMS
GLUCOSESTRIP,Bloed,mmol/L,GLS-BL,GLS-BL,14743-9,Glucose [Moles/volume] in Capillary blood by Glucometer,AMC LAB LABTRAIN
GLUCOSESTATSTRIP AMC,Bloed,mmol/L,GLUCS-BL,GLUCS-BL,14743-9,Glucose [Moles/volume] in Capillary blood by Glucometer,AMC LAB LABTRAIN
GLUCOSESTATSTRIP AMC,,mmol/L,GLUCS-BL,GLUCS-BL,14743-9,Glucose [Moles/volume] in Capillary blood by Glucometer,AMC LAB LABTRAIN
GLUCOSE POCT,Bloed,mmol/L,P_GLUC_GB,P_GLUC_GB,14743-9,Glucose [Moles/volume] in Capillary blood by Glucometer,VUMC LAB GLIMS
GLUCOSE POCT,,mmol/L,P_GLUC_GB,P_GLUC_GB,14743-9,Glucose [Moles/volume] in Capillary blood by Glucometer,VUMC LAB GLIMS
GLUCOSE (LIQUOR),Liquor,mmol/L,K_GLUC_LI,K_GLUC_LI,14744-7,Glucose [Moles/volume] in Cerebral spinal fluid,VUMC LAB GLIMS
GLUCOSE (LIQUOR),,mmol/L,K_GLUC_LI,K_GLUC_LI,14744-7,Glucose [Moles/volume] in Cerebral spinal fluid,VUMC LAB GLIMS
GLUCOSE (LIQUOR),Liquor,mmol/L,LGLU-L,LGLU-L,14744-7,Glucose [Moles/volume] in Cerebral spinal fluid,AMC LAB LABTRAIN
GLUCOSE (DIALYSAAT),Dialysaat,mmol/L,K_GLUC_DI,K_GLUC_DI,15075-5,Glucose [Moles/volume] in Dialysis fluid,VUMC LAB GLIMS
GLUCOSE (DIALYSAAT) (AMC),Dialysaat,mmol/L,RGLU-B,RGLU-B,15075-5,Glucose [Moles/volume] in Dialysis fluid,AMC LAB LABTRAIN
GLUCOSE - BLOEDGAS GEM. VEN. (AMC),Bloed,mmol/L,DGLU-BL_MVEN,DGLU-BL_MVEN,100746-7,Glucose [Moles/volume] in Mixed venous blood,AMC LAB LABTRAIN
GLUCOSE BLOEDGAS GEM. VEN. VUMC,Bloed,mmol/L,K_GLUC_GEMVEN,K_GLUC_GEMVEN,100746-7,Glucose [Moles/volume] in Mixed venous blood,VUMC LAB GLIMS
GLUCOSE BLOEDGAS GEM. VEN. VUMC,Bloed,mmol/L,P_GLUC_GEMVEN,P_GLUC_GEMVEN,100746-7,Glucose [Moles/volume] in Mixed venous blood,VUMC LAB GLIMS
GLUCOSE BLOEDGAS GEM. VEN. VUMC,,mmol/L,P_GLUC_GEMVEN,P_GLUC_GEMVEN,100746-7,Glucose [Moles/volume] in Mixed venous blood,VUMC LAB GLIMS
GLUCOSE (ASCITESVOCHT),Ascitesvocht,mmol/L,K_GLUC_AS,K_GLUC_AS,14748-8,Glucose [Moles/volume] in Peritoneal fluid,VUMC LAB GLIMS
GLUCOSE (ASCITESVOCHT),,mmol/L,K_GLUC_AS,K_GLUC_AS,14748-8,Glucose [Moles/volume] in Peritoneal fluid,VUMC LAB GLIMS
GLUCOSE (PLEURAVOCHT),Pleurapunctaat,mmol/L,K_GLUC_PP,K_GLUC_PP,14747-0,Glucose [Moles/volume] in Pleural fluid,VUMC LAB GLIMS
GLUCOSE (PLEURAVOCHT),Pleuravocht,mmol/L,K_GLUC_PP,K_GLUC_PP,14747-0,Glucose [Moles/volume] in Pleural fluid,VUMC LAB GLIMS
GLUCOSE VUMC,Bloed,mmol/L,K_GLUC_HB,K_GLUC_HB,14749-6,Glucose [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
GLUCOSE VUMC,,mmol/L,K_GLUC_HB,K_GLUC_HB,14749-6,Glucose [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
GLUCOSE VUMC,,,K_GLUC_HB,K_GLUC_HB,14749-6,Glucose [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
GLUCOSE,Bloed,mmol/L,K_GLUC_HP,K_GLUC_HP,14749-6,Glucose [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
GLUCOSE,,mmol/L,K_GLUC_HP,K_GLUC_HP,14749-6,Glucose [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
GLUCOSE,Bloed,mmol/L,RGLU-BL,RGLU-BL,14749-6,Glucose [Moles/volume] in Serum or Plasma,AMC LAB LABTRAIN
GLUCOSE,,mmol/L,RGLU-BL,RGLU-BL,14749-6,Glucose [Moles/volume] in Serum or Plasma,AMC LAB LABTRAIN
GLUC.KWAN. (URINE),Urine,mmol/L,K_GLUKWA_UR,K_GLUKWA_UR,59156-0,Glucose [Moles/volume] in Urine by Automated test strip,VUMC LAB GLIMS
GLUCOSE (U),Urine,mmol/L,UGLU-U,UGLU-U,59156-0,Glucose [Moles/volume] in Urine by Automated test strip,AMC LAB LABTRAIN
GLUCOSE - BLOEDGAS VEN. (AMC),Bloed,mmol/L,CGLU-BL_VEN,CGLU-BL_VEN,39480-9,Glucose [Moles/volume] in Venous blood,AMC LAB LABTRAIN
GLUCOSE - BLOEDGAS VEN. (AMC),Bloed,mmol/L,DGLU-BL_VEN,DGLU-BL_VEN,39480-9,Glucose [Moles/volume] in Venous blood,AMC LAB LABTRAIN
GLUCOSE - BLOEDGAS VEN. (AMC),,mmol/L,DGLU-BL_VEN,DGLU-BL_VEN,39480-9,Glucose [Moles/volume] in Venous blood,AMC LAB LABTRAIN
GLUCOSE BLOEDGAS VEN. VUMC,Bloed,mmol/L,K_GLUC_VEN,K_GLUC_VEN,39480-9,Glucose [Moles/volume] in Venous blood,VUMC LAB GLIMS
GLUCOSE BLOEDGAS VEN. VUMC,Bloed,mmol/L,P_GLUC_VEN,P_GLUC_VEN,39480-9,Glucose [Moles/volume] in Venous blood,VUMC LAB GLIMS
GLUCOSE BLOEDGAS VEN. VUMC,,mmol/L,P_GLUC_VEN,P_GLUC_VEN,39480-9,Glucose [Moles/volume] in Venous blood,VUMC LAB GLIMS
GLUCOSE-KWAL (URINE) POCT AMC,,,DUGLS-U,DUGLS-U,50555-2,Glucose [Presence] in Urine by Automated test strip,AMC LAB LABTRAIN
GLUCOSE-KWAL (URINE) POCT AMC,Urine,,DUGLS-U,DUGLS-U,50555-2,Glucose [Presence] in Urine by Automated test strip,AMC LAB LABTRAIN
GLUC.KWAL. (URINE),Bloed,,K_GLUC_UR,K_GLUC_UR,50555-2,Glucose [Presence] in Urine by Automated test strip,VUMC LAB GLIMS
GLUC.KWAL. (URINE),,,K_GLUC_UR,K_GLUC_UR,50555-2,Glucose [Presence] in Urine by Automated test strip,VUMC LAB GLIMS
GLUC.KWAL. (URINE),Urine,,K_GLUC_UR,K_GLUC_UR,50555-2,Glucose [Presence] in Urine by Automated test strip,VUMC LAB GLIMS
GLUCOSE (URINE) POCT VUMC,,,P_GLUC_UR,P_GLUC_UR,50555-2,Glucose [Presence] in Urine by Automated test strip,VUMC LAB GLIMS
GLUCOSE (URINE) POCT VUMC,Urine,,P_GLUC_UR,P_GLUC_UR,50555-2,Glucose [Presence] in Urine by Automated test strip,VUMC LAB GLIMS
GLUCOSE-STIK,Urine,,KGLS-U,KGLS-U,25428-4,Glucose [Presence] in Urine by Test strip,AMC LAB LABTRAIN
Hematocriet (HHT),Bloed Arterieel,L/L,HHT;BL,HHT-BL,71832-0,Hematocrit [Pure volume fraction] of Arterial blood,LABTRAIN
HT(V.BGS) ART. VUMC,Bloed,L/L,K_HCT_ART,K_HCT_ART,71832-0,Hematocrit [Pure volume fraction] of Arterial blood,VUMC LAB GLIMS
HT(V.BGS) ART. VUMC,Bloedgas,L/L,K_HCT_ART,K_HCT_ART,71832-0,Hematocrit [Pure volume fraction] of Arterial blood,VUMC LAB GLIMS
HT(V.BGS) ART. VUMC,Bloed,L/L,P_HCT_ART,P_HCT_ART,71832-0,Hematocrit [Pure volume fraction] of Arterial blood,VUMC LAB GLIMS
HT(V.BGS) ART. VUMC,,L/L,P_HCT_ART,P_HCT_ART,71832-0,Hematocrit [Pure volume fraction] of Arterial blood,VUMC LAB GLIMS
Hematocriet (HHT),Bloed,L/L,HHT;BL,HHT-BL,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,LABTRAIN
HEMATOCRIET,Bloed,L/L,HHT-BL,HHT-BL,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,AMC LAB LABTRAIN
HT(V.BGS),Bloed,L/L,K_HCT_HB,K_HCT_HB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,VUMC LAB GLIMS
Ht(v.Bgs),Bloed,L/L,K_HCT_HB,K_HCT_HB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,GLIMS
HT(V.BGS),,L/L,K_HCT_HB,K_HCT_HB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,VUMC LAB GLIMS
HT(V.BGS),,,K_HCT_HB,K_HCT_HB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,VUMC LAB GLIMS
HT,Bloed,L/L,K_HT_EB,K_HT_EB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,VUMC LAB GLIMS
Ht,Bloed,L/L,K_HT_EB,K_HT_EB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,GLIMS
HT,,L/L,K_HT_EB,K_HT_EB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,VUMC LAB GLIMS
HT(V.BGS) POCT,Bloed,L/L,P_HCT_HB,P_HCT_HB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,VUMC LAB GLIMS
HT(V.BGS) POCT,,L/L,P_HCT_HB,P_HCT_HB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,VUMC LAB GLIMS
Ht(v.Bgs),Bloed,L/L,P_HCT_HB,P_HCT_HB,71833-8,Hematocrit [Pure volume fraction] of Blood by Automated count,GLIMS
Hematocriet (HHT),Bloed Capillair,L/L,HHT;BL,HHT-BL,71831-2,Hematocrit [Pure volume fraction] of Capillary blood,LABTRAIN
Hematocriet (HHT),Bloed Capillair vinger,L/L,HHT;BL,HHT-BL,71831-2,Hematocrit [Pure volume fraction] of Capillary blood,LABTRAIN
Ht(v.Bgs),Bloed Capillair,L/L,K_HCT_HB,K_HCT_HB,71831-2,Hematocrit [Pure volume fraction] of Capillary blood,GLIMS
HT(V.BGS) CAP. VUMC,,L/L,P_HCT_CAP,P_HCT_CAP,71831-2,Hematocrit [Pure volume fraction] of Capillary blood,VUMC LAB GLIMS
Ht(v.Bgs),Bloed Capillair,L/L,P_HCT_HB,P_HCT_HB,71831-2,Hematocrit [Pure volume fraction] of Capillary blood,GLIMS
Ht(v.Bgs),Bloed Navel arterieel,L/L,K_HCT_HB,K_HCT_HB,98998-8,Hematocrit [Pure volume fraction] of Cord blood by Automated count,GLIMS
Ht(v.Bgs),Bloed Navel veneus,L/L,K_HCT_HB,K_HCT_HB,98998-8,Hematocrit [Pure volume fraction] of Cord blood by Automated count,GLIMS
Ht(v.Bgs),Bloed navelarterie,L/L,K_HCT_HB,K_HCT_HB,98998-8,Hematocrit [Pure volume fraction] of Cord blood by Automated count,GLIMS
Ht(v.Bgs),Bloed Navel arterieel,L/L,P_HCT_HB,P_HCT_HB,98998-8,Hematocrit [Pure volume fraction] of Cord blood by Automated count,GLIMS
Ht(v.Bgs),Bloed Navel veneus,L/L,P_HCT_HB,P_HCT_HB,98998-8,Hematocrit [Pure volume fraction] of Cord blood by Automated count,GLIMS
HT(V.BGS) GEM. VEN. VUMC,Bloed,L/L,K_HCT_GEMVEN,K_HCT_GEMVEN,71830-4,Hematocrit [Pure volume fraction] of Mixed venous blood,VUMC LAB GLIMS
Ht(v.Bgs),Bloed Gemengd veneus,L/L,K_HCT_HB,K_HCT_HB,71830-4,Hematocrit [Pure volume fraction] of Mixed venous blood,GLIMS
HT(V.BGS) GEM. VEN. VUMC,Bloed,L/L,P_HCT_GEMVEN,P_HCT_GEMVEN,71830-4,Hematocrit [Pure volume fraction] of Mixed venous blood,VUMC LAB GLIMS
HT(V.BGS) GEM. VEN. VUMC,,L/L,P_HCT_GEMVEN,P_HCT_GEMVEN,71830-4,Hematocrit [Pure volume fraction] of Mixed venous blood,VUMC LAB GLIMS
Ht(v.Bgs),Bloed Gemengd veneus,L/L,P_HCT_HB,P_HCT_HB,71830-4,Hematocrit [Pure volume fraction] of Mixed venous blood,GLIMS
Ht(v.Bgs),Bloed gem veneus,L/L,P_HCT_HB,P_HCT_HB,71830-4,Hematocrit [Pure volume fraction] of Mixed venous blood,GLIMS
Ht(v.Bgs),Bloed gem.ven,L/L,P_HCT_HB,P_HCT_HB,71830-4,Hematocrit [Pure volume fraction] of Mixed venous blood,GLIMS
Ht(v.Bgs),Bloed gemend veneus,L/L,P_HCT_HB,P_HCT_HB,71830-4,Hematocrit [Pure volume fraction] of Mixed venous blood,GLIMS
Hematocriet (HHT),Bloed Veneus,L/L,HHT;BL,HHT-BL,71829-6,Hematocrit [Pure volume fraction] of Venous blood,LABTRAIN
Ht(v.Bgs),Bloed Veneus,L/L,K_HCT_HB,K_HCT_HB,71829-6,Hematocrit [Pure volume fraction] of Venous blood,GLIMS
HT(V.BGS) VEN. VUMC,Bloed,L/L,K_HCT_VEN,K_HCT_VEN,71829-6,Hematocrit [Pure volume fraction] of Venous blood,VUMC LAB GLIMS
Ht(v.Bgs),Bloed Veneus,L/L,P_HCT_HB,P_HCT_HB,71829-6,Hematocrit [Pure volume fraction] of Venous blood,GLIMS
HT(V.BGS) VEN. VUMC,Bloed,L/L,P_HCT_VEN,P_HCT_VEN,71829-6,Hematocrit [Pure volume fraction] of Venous blood,VUMC LAB GLIMS
HT(V.BGS) VEN. VUMC,,L/L,P_HCT_VEN,P_HCT_VEN,71829-6,Hematocrit [Pure volume fraction] of Venous blood,VUMC LAB GLIMS
Ht(v.Bgs),Bloed Arterieel,L/L,K_HCT_HB,K_HCT_HB,32354-3,Hematocrit [Volume Fraction] of Arterial blood,GLIMS
Ht(v.Bgs),Bloed Arterieel,L/L,P_HCT_HB,P_HCT_HB,32354-3,Hematocrit [Volume Fraction] of Arterial blood,GLIMS
Ht(v.Bgs),Bloed arteriel,L/L,P_HCT_HB,P_HCT_HB,32354-3,Hematocrit [Volume Fraction] of Arterial blood,GLIMS
